loss,recon_loss,vq_loss,commitment_loss
0.026330686226748477,0.026224993002945847,2.6423303967965352e-05,7.926990890919604e-05
0.021942578444521733,0.02194227519495258,7.581940792800314e-08,2.2745822965786797e-07
0.016516167594903857,0.0165160713228511,2.4071765544431625e-08,7.221529847919912e-08
0.012746943272369174,0.01274688294587344,1.5079148058898336e-08,4.5237445247435387e-08
0.011585014342971534,0.011584968719749938,1.1403510145232117e-08,3.421053119745786e-08
0.011301637362638643,0.011301600276097522,9.258210640035347e-09,2.7774632451491743e-08
0.011075223728034078,0.011075192788478327,7.742251681842755e-09,2.3226755541461088e-08
0.011227825823654747,0.011227798705911462,6.772698566552804e-09,2.03180962017038e-08
0.01141129386517087,0.011411269144291821,6.1877197692310606e-09,1.8563159732946632e-08
0.010885411020665358,0.010885388040508722,5.7486570153408095e-09,1.7245971460409098e-08
0.013661450176761101,0.013661409934092355,1.0050660823992936e-08,3.0151983153507234e-08
0.012234522627786616,0.012234505922852622,4.182602022205995e-09,1.2547806345894317e-08
0.015272635768272506,0.01527260279007177,8.251819454313715e-09,2.4755459055879693e-08
0.023837970193896326,0.023837956122265518,3.5157865941550203e-09,1.0547360067446452e-08
0.020838621548767432,0.020838609440054678,3.0409830931256784e-09,9.122949494992127e-09
0.018991840713304224,0.01899182948267596,2.8004247829739533e-09,8.40127452894682e-09
0.017828664399051453,0.017828653185198398,2.794970565846561e-09,8.384911899118512e-09
0.02329957244999792,0.023299553796958913,4.6501257363478404e-09,1.3950377566560691e-08
0.020989715776498906,0.020989704211690687,2.88084397319839e-09,8.642532096542625e-09
0.019904272192496606,0.01990426278735403,2.3466303910457785e-09,7.039891299327856e-09
0.01951645881083428,0.01951645006335281,2.1718950314810176e-09,6.515685223576661e-09
0.019091513945278978,0.01909150552843222,2.1018783181231013e-09,6.305635097267505e-09
0.018851619005677264,0.01885161079849203,2.0478218232980492e-09,6.143465608988974e-09
0.018504323459839597,0.018504315395467288,2.0010187368779887e-09,6.003056355433853e-09
0.01807728442203916,0.018077276584040524,1.955429685130973e-09,5.86628918706211e-09
